gtaa,wikidata,label,description,lookup,bengwiki
115348,Q7078543,Oek de Jong,schrijver,"Oek de Jong,Oebele Klaas Anne de Jong Oek de Jong - Jong, Oek de ","Jong,_Oek_de"
246710,Q7178065,Peterjan van der Burgh,programmamaker,"Peterjan van der Burgh Peterjan van der Burgh - Burgh, Peterjan van der ",
241434,Q7192786,Pieter Hofman,programmamaker,"Pieter Hofman Pieter Hofman - Hofman, Pieter ",
246537,Q7192797,Pieter Kok,programmamaker,"Pieter Kok Pieter Kok - Kok, Pieter ",
164597,Q7192838,Pieter Verhoeff,filmregisseur,"Pieter Verhoeff Pieter Verhoeff - Verhoeff, Pieter Pieter Verhoeff",Pieter_Verhoeff
245786,Q7258242,Puck de Leeuw,programmamaker,"Puck de Leeuw Puck de Leeuw - Leeuw, Puck de ",
250095,Q7313850,Renée Scheltema,programmamaker,"Renée Scheltema Renée Scheltema - Scheltema, Renée ",
164767,Q7340622,Rob Verlinden,"presentator, tuinman","Rob Verlinden Rob Verlinden - Verlinden, Rob ","Verlinden,_Rob"
212239,Q7382776,Rutger Castricum,journalist,"Rutger Castricum Rutger Castricum - Castricum, Rutger ","Castricum,_Rutger"
96965,Q7609148,Stephen Emmer,"muzikant, componist, ondernemer","Stephen Emmer Stephen Emmer - Emmer, Stephen Stephen Roger Emmer",Stephen_Emmer
162845,Q7781502,Theo Uittenbogaard,programmamaker,"Theo Uittenbogaard Theo Uittenbogaard - Uittenbogaard, Theo Theo Uittenbogaard",Theo_Uittenbogaard
247892,Q7999794,Wijnand Ott,programmamaker,"Wijnand Ott Wijnand Ott - Ott, Wijnand ",
166718,Q8003620,Willem Vos,"artistiek adviseur RPHO, programmamaker","Willem Vos Willem Vos - Vos, Willem ","Vos,_Willem"
104068,Q8023498,Wim de Graaff,schaatser/coach Nederlandse herenschaatsploeg,"Wim de Graaff Wim de Graaff - Graaff, Wim de ","Graaff,_Wim_de"
158448,Q8042910,Xander Straat,acteur,"Xander Straat Xander Straat - Straat, Xander ","Straat,_Xander"
240676,Q9002883,Henk Tennekes,programmamaker,"Hendrik Tennekes,Tennekes,Henk Tennekes Henk Tennekes - Tennekes, Henk ",
113511,Q11002872,Gied Jaspars,regisseur,"Gied Jaspars Gied Jaspars - Jaspars, Gied ","Jaspars,_Gied"
123939,Q11029359,Frans Frederiks,"rapper, artiestennaam van Frans Frederiks","Lange Frans,Frans Christiaan Frederiks Frans Frederiks - Lange Frans ",Lange_Frans
111759,Q11250436,Netty van Hoorn,programmamaker,"Netty van Hoorn Netty van Hoorn - Hoorn, Netty van ","Hoorn,_Netty_van"
166257,Q11589743,Tjitze Vogel,programmamaker,"Tjitze Vogel Tjitze Vogel - Vogel, Tjitze ","Vogel,_Tjitze"
86820,Q11785187,Monique de Bruin,wielrenster,"Monique de Bruin Monique de Bruin - Bruin, Monique de ","Bruin,_Monique_de"
115354,Q12012936,Peter de Jong,komiek,"Peter de Jong Peter de Jong - Jong, Peter de ","Jong,_Peter_de"
234340,Q12012969,Frans Klein,mediadirecteur VARA,"Frans Klein Frans Klein - Klein, Frans ","Klein,_Frans"
150876,Q12482555,Eric Schneider,acteur,"Eric Schneider,Eric schneider Eric Schneider - Schneider, Eric ","Schneider,_Eric"
83502,Q13411209,Sacha de Boer,presentatrice,"Sacha de Boer Sacha de Boer - Boer, Sacha de Sacha de Boer",Sacha_de_Boer
85068,Q13428282,Ad Bouman,diskjockey,"Ad Bouman Ad Bouman - Bouman, Ad ","Bouman,_Ad"
92788,Q13428287,Ad van Denderen,fotograaf,"Ad van Denderen Ad van Denderen - Denderen, Ad van ","Denderen,_Ad_van"
162531,Q13428399,Adriaan Venema,schrijver,"Adriaan Venema Adriaan Venema - Venema, Adriaan ","Venema,_Adriaan"
144159,Q13429900,Anton Quintana,programmamaker,"Anton Quintana,Antoon Adolf Kuyten Anton Quintana - Quintana, Anton Anton Kuyten",Anton_Quintana
111243,Q13429945,Antoon van Hooff,directeur Burgers Dierenpark,"Antoon van Hooff Antoon van Hooff - Hooff, Antoon van ","Hooff,_Antoon_van"
248733,Q13430548,Arnold Verhoeven,programmamaker,"Arnold Verhoeven Arnold Verhoeven - Verhoeven, Arnold ",
105847,Q13466241,Chris van der Heijden,"historicus, schrijver, programmamaker","Chris van der Heijden Chris van der Heijden - Heijden, Chris van der ","Heijden,_Chris_van_der"
83333,Q13538517,Ludi Boeken,programmamaker,"Ludi Boeken Ludi Boeken - Boeken, Ludi ","Boeken,_Ludi"
